Age,Income,Credit_Score,Employment_Status,Previous_Loan_Default,Loan_Eligibility
32,53289,735,Student,0,No
32,57700,846,Employed,0,No
20,77898,676,Employed,1,No
31,52780,733,Student,0,No
30,83335,554,Unemployed,1,No
29,58780,651,Unemployed,1,No
26,21061,789,Employed,0,No
33,57512,617,Employed,1,No
25,44920,817,Student,0,No
21,25167,658,Student,0,No
29,37224,546,Student,1,No
31,43021,602,Unemployed,1,No
34,85771,639,Unemployed,1,No
33,58684,673,Unemployed,1,No
20,38449,615,Employed,1,No
35,67942,546,Student,0,No
26,36199,732,Student,1,No
30,68689,555,Employed,0,No
33,23280,817,Employed,1,No
25,28285,825,Student,1,No
31,35292,571,Unemployed,0,No
27,84569,559,Unemployed,0,No
35,37781,698,Student,1,No
35,74935,800,Employed,0,No
31,32978,750,Employed,1,No
26,24288,689,Unemployed,1,No
32,50947,685,Unemployed,1,No
35,67012,531,Student,1,No
24,36011,732,Unemployed,0,No
18,26629,670,Unemployed,0,No
24,28992,783,Unemployed,0,No
25,63064,575,Employed,0,No
26,38964,566,Employed,1,No
23,34408,838,Unemployed,0,No
18,66955,621,Employed,1,No
18,42838,635,Unemployed,0,No
31,88955,558,Employed,0,No
33,78756,685,Employed,0,No
32,86039,613,Employed,0,No
34,59535,734,Employed,0,No
19,82781,705,Student,0,No
33,78138,537,Unemployed,1,No
22,28609,564,Student,1,No
30,89541,650,Student,1,No
21,34996,835,Employed,0,Yes
31,79186,616,Student,1,No
32,72262,712,Employed,0,No
28,75936,660,Employed,1,No
29,40006,742,Unemployed,0,No
20,32219,721,Unemployed,1,No
22,27861,800,Employed,1,No
21,73845,681,Employed,1,No
19,57700,807,Student,1,No
21,86507,608,Unemployed,1,No
25,34184,679,Employed,1,No
21,56512,793,Unemployed,1,No
35,23441,811,Employed,1,No
18,43647,639,Employed,1,No
28,66009,503,Unemployed,0,No
30,29120,572,Employed,0,No
20,89531,610,Student,1,No
32,64681,580,Student,1,No
28,31135,526,Unemployed,0,No
19,30693,639,Student,1,No
33,77939,712,Student,0,No
34,34918,676,Student,0,No
27,83783,769,Employed,1,No
19,48903,702,Employed,0,Yes
18,46794,654,Unemployed,0,No
26,57938,667,Unemployed,0,No
33,76446,589,Unemployed,1,No
35,50161,756,Employed,1,No
20,72044,521,Student,0,No
32,30205,660,Employed,1,No
30,74747,648,Unemployed,1,No
18,62568,587,Employed,1,No
29,31551,723,Unemployed,0,No
31,72487,768,Unemployed,1,No
27,64500,613,Student,0,No
20,86910,824,Unemployed,0,No
29,66019,830,Unemployed,0,No
21,39194,631,Unemployed,0,No
22,29876,590,Employed,1,No
32,78838,848,Employed,1,No
28,39786,725,Unemployed,1,No
32,59691,640,Employed,0,No
29,86497,537,Student,1,No
32,24929,529,Student,1,No
20,31835,814,Employed,1,No
32,25376,730,Employed,0,No
28,82341,756,Unemployed,0,No
32,33566,675,Employed,0,No
34,42617,520,Unemployed,1,No
32,88690,767,Employed,0,No
29,68870,644,Student,1,No
28,26863,823,Employed,1,No
20,63213,548,Employed,1,No
27,53029,836,Employed,0,Yes
28,30682,798,Employed,0,Yes
29,60662,835,Employed,1,No
22,31104,658,Employed,1,No
28,36750,843,Employed,0,Yes
31,86648,685,Unemployed,1,No
27,43627,609,Student,1,No
24,49693,570,Unemployed,0,No
27,33256,759,Employed,0,Yes
28,37176,805,Student,0,No
23,43703,819,Unemployed,1,No
19,73852,686,Employed,0,Yes
32,57346,729,Unemployed,0,No
27,81474,599,Student,1,No
32,56932,695,Employed,1,No
23,46174,809,Unemployed,1,No
19,82991,690,Employed,0,Yes
34,36341,645,Unemployed,0,No
26,78893,762,Unemployed,1,No
20,49102,730,Student,0,No
31,26980,702,Employed,1,No
25,70615,541,Student,0,No
18,61770,550,Employed,1,No
22,38035,519,Student,1,No
22,81487,729,Employed,0,Yes
20,22490,631,Unemployed,0,No
35,89176,716,Unemployed,1,No
25,59472,562,Unemployed,0,No
31,79914,532,Unemployed,1,No
35,22154,823,Employed,0,No
22,58177,719,Unemployed,1,No
25,74600,595,Employed,0,No
34,67265,534,Employed,0,No
30,81621,522,Employed,1,No
29,53246,508,Student,0,No
29,51604,836,Employed,0,Yes
28,37486,522,Student,1,No
23,80899,745,Employed,0,Yes
22,28270,734,Unemployed,1,No
24,25741,602,Unemployed,1,No
27,87552,703,Employed,1,No
26,24799,831,Unemployed,1,No
29,26265,835,Student,1,No
21,68237,723,Student,1,No
30,64438,595,Student,1,No
29,88062,636,Unemployed,1,No
20,76440,808,Unemployed,1,No
28,33447,540,Student,1,No
27,78447,808,Employed,1,No
23,78183,679,Student,0,No
29,77008,640,Employed,0,Yes
20,73242,686,Employed,0,Yes
18,38714,811,Employed,1,No
19,36545,534,Unemployed,1,No
29,70181,790,Unemployed,0,No
32,68623,690,Student,0,No
22,89397,687,Student,1,No
26,52717,558,Unemployed,0,No
33,87861,698,Employed,0,No
26,54116,728,Unemployed,1,No
33,46237,562,Unemployed,0,No
32,42630,727,Unemployed,1,No
29,28511,781,Employed,1,No
27,40644,826,Unemployed,1,No
34,49391,562,Unemployed,0,No
25,84752,513,Student,1,No
32,37009,813,Unemployed,0,No
27,72187,745,Employed,1,No
31,29666,564,Student,0,No
32,81057,848,Employed,1,No
22,43850,566,Student,0,No
21,87908,578,Student,0,No
23,62291,615,Student,1,No
20,52847,600,Employed,1,No
22,59691,814,Employed,0,Yes
34,42103,803,Employed,0,No
23,64252,788,Unemployed,0,No
20,25958,828,Employed,1,No
24,74602,816,Employed,0,Yes
33,57967,828,Student,1,No
25,73227,652,Student,0,No
19,40719,725,Student,1,No
32,46741,674,Employed,0,No
28,61853,676,Student,0,No
29,87499,787,Unemployed,1,No
25,81141,562,Student,1,No
25,38465,549,Unemployed,1,No
30,74805,627,Unemployed,1,No
28,44881,581,Student,1,No
33,60441,754,Unemployed,0,No
30,86249,734,Unemployed,0,No
29,26377,525,Student,1,No
33,57453,774,Unemployed,0,No
31,37555,635,Employed,1,No
30,67964,523,Student,0,No
35,45513,685,Employed,1,No
20,70639,758,Student,1,No
21,36864,549,Student,1,No
28,67920,573,Unemployed,1,No
34,25276,523,Unemployed,0,No
28,82094,765,Student,0,No
34,38321,667,Employed,1,No
23,71505,815,Employed,1,No
28,86494,760,Employed,1,No
27,82245,508,Student,1,No
21,74596,798,Student,0,No
33,54803,835,Employed,0,No
19,82973,587,Employed,1,No
22,51745,516,Employed,0,No
24,22482,725,Student,1,No
22,74127,604,Student,1,No
19,38098,765,Unemployed,1,No
33,88875,692,Student,0,No
32,89878,675,Employed,1,No
26,83462,598,Unemployed,1,No
35,59124,615,Student,1,No
24,84094,662,Student,1,No
35,55842,647,Unemployed,1,No
30,65237,574,Student,0,No
27,30358,677,Student,1,No
33,48047,603,Employed,1,No
35,55601,570,Unemployed,0,No
25,26653,842,Employed,0,No
25,26880,551,Student,1,No
33,33178,848,Unemployed,0,No
35,40701,708,Employed,1,No
33,46143,647,Student,1,No
19,31725,833,Employed,0,Yes
35,24888,589,Student,0,No
19,72034,753,Unemployed,1,No
19,21214,652,Employed,0,No
28,57298,732,Employed,1,No
22,86088,739,Student,0,No
21,63343,583,Employed,1,No
26,44405,507,Employed,1,No
27,45318,589,Employed,1,No
31,87538,667,Unemployed,1,No
21,44219,571,Student,1,No
25,20895,633,Student,0,No
32,54995,668,Student,0,No
26,67127,620,Unemployed,0,No
32,60213,581,Student,1,No
21,58671,688,Employed,0,Yes
25,37507,744,Unemployed,1,No
29,74505,781,Student,0,No
25,30730,769,Student,1,No
20,34707,531,Employed,0,No
35,39641,584,Student,1,No
21,46922,798,Student,0,No
34,78390,528,Student,0,No
34,74450,733,Employed,0,No
35,80604,844,Student,0,No
30,53352,501,Employed,0,No
20,25936,716,Student,0,No
35,27897,535,Student,0,No
27,73591,592,Unemployed,1,No
29,70132,729,Student,1,No
20,37431,834,Student,0,No
23,71518,770,Unemployed,0,No
18,22979,652,Student,1,No
35,69712,617,Unemployed,1,No
29,40332,641,Unemployed,0,No
19,74950,814,Unemployed,0,No
24,28819,551,Employed,0,No
32,26380,625,Employed,0,No
30,77535,619,Employed,0,Yes
19,38367,757,Student,0,No
28,62030,621,Student,0,No
34,48972,711,Student,1,No
19,42955,820,Employed,1,No
35,84962,524,Student,1,No
34,61777,713,Student,0,No
27,69343,594,Employed,1,No
25,49536,653,Employed,0,Yes
32,27552,787,Student,1,No
35,89467,568,Student,0,No
26,46651,669,Employed,0,Yes
32,68637,547,Employed,0,No
19,55187,693,Employed,0,Yes
20,44662,800,Employed,0,Yes
33,47379,670,Student,0,No
24,44906,560,Employed,1,No
25,46805,703,Unemployed,1,No
27,69894,738,Employed,1,No
27,54283,684,Employed,1,No
32,32924,740,Student,0,No
29,61015,711,Unemployed,0,No
22,22125,633,Employed,1,No
27,39976,600,Student,0,No
30,52208,755,Employed,1,No
26,84044,828,Employed,1,No
32,42050,680,Unemployed,0,No
35,84004,594,Employed,0,No
34,24433,538,Employed,0,No
18,74053,570,Employed,0,No
20,39795,504,Unemployed,1,No
29,27923,816,Employed,1,No
33,22061,503,Employed,1,No
18,22192,771,Employed,1,No
35,57576,508,Employed,1,No
23,34026,549,Employed,0,No
25,45156,817,Employed,1,No
29,55038,703,Unemployed,1,No
30,80161,789,Unemployed,0,No
27,30566,834,Employed,0,Yes
20,73120,694,Student,1,No
19,21238,587,Unemployed,1,No
31,63420,789,Unemployed,0,No
25,47710,790,Student,1,No
19,29744,850,Student,0,No
23,61220,508,Unemployed,0,No
30,30084,653,Unemployed,0,No
30,63480,696,Employed,0,Yes
20,85639,677,Unemployed,0,No
31,50427,538,Student,1,No
28,23883,824,Student,1,No
33,49902,682,Employed,1,No
31,44345,848,Employed,1,No
20,58715,626,Employed,0,Yes
20,55123,578,Student,0,No
30,61507,684,Unemployed,0,No
18,60405,727,Student,1,No
21,37367,544,Unemployed,1,No
32,87166,708,Unemployed,0,No
20,66388,783,Unemployed,1,No
30,21617,649,Student,1,No
20,51816,792,Employed,0,Yes
30,42216,571,Student,1,No
26,84634,574,Unemployed,0,No
31,56170,715,Student,1,No
20,67333,628,Unemployed,1,No
24,80012,554,Unemployed,1,No
18,71864,670,Employed,1,No
28,77700,671,Student,0,No
27,62030,808,Employed,0,Yes
33,61180,590,Student,1,No
27,84357,794,Unemployed,1,No
30,56739,701,Student,0,No
24,43583,849,Employed,0,Yes
32,47479,724,Student,0,No
31,85444,571,Employed,1,No
25,53119,837,Unemployed,1,No
30,29694,729,Employed,1,No
30,86402,714,Employed,0,Yes
29,31138,555,Unemployed,1,No
23,25806,788,Employed,1,No
28,76420,554,Unemployed,0,No
26,49098,761,Employed,0,Yes
32,69036,700,Student,0,No
29,23219,747,Unemployed,1,No
31,31253,559,Employed,0,No
29,60880,675,Student,0,No
34,83298,678,Student,0,No
32,79303,663,Unemployed,1,No
19,35084,511,Student,0,No
23,51970,764,Unemployed,0,No
28,75885,736,Unemployed,1,No
23,44430,827,Employed,1,No
30,23826,814,Unemployed,1,No
31,70965,502,Employed,0,No
24,56483,532,Employed,0,No
35,44505,687,Student,0,No
32,34936,634,Employed,1,No
34,61078,805,Student,1,No
21,65603,680,Student,0,No
27,31108,844,Unemployed,1,No
21,51270,656,Unemployed,0,No
29,38528,761,Student,1,No
22,70293,716,Unemployed,1,No
35,42706,784,Unemployed,1,No
27,38388,595,Student,1,No
19,67059,504,Student,0,No
24,70324,787,Employed,1,No
31,84451,712,Employed,1,No
33,41922,542,Employed,0,No
25,58284,516,Student,0,No
35,57836,586,Student,1,No
35,86952,557,Employed,0,No
26,68085,777,Unemployed,1,No
35,48644,717,Unemployed,0,No
27,24224,730,Student,1,No
20,77549,560,Unemployed,0,No
29,76120,584,Employed,0,No
24,47124,530,Employed,1,No
35,56842,805,Employed,0,No
28,58356,648,Employed,1,No
34,32481,569,Student,0,No
26,36631,567,Unemployed,0,No
28,52447,846,Student,1,No
22,55221,821,Student,1,No
32,29898,824,Unemployed,1,No
34,56467,688,Student,1,No
28,20324,547,Employed,1,No
29,28300,773,Student,0,No
31,47767,753,Student,1,No
27,64270,780,Employed,0,Yes
33,65054,849,Unemployed,0,No
21,80238,508,Unemployed,0,No
32,79836,500,Student,0,No
22,59566,581,Student,0,No
29,52819,542,Student,0,No
19,71949,820,Student,0,No
31,31953,548,Unemployed,0,No
33,30215,567,Employed,0,No
34,78335,504,Unemployed,1,No
21,75353,567,Student,0,No
25,70209,545,Employed,0,No
21,61071,688,Student,0,No
30,37451,828,Employed,0,Yes
20,89534,788,Unemployed,0,No
32,66030,609,Employed,0,No
31,77984,611,Unemployed,0,No
22,36142,801,Employed,1,No
29,76280,661,Unemployed,0,No
26,31042,627,Employed,1,No
18,59537,605,Employed,0,Yes
30,58737,830,Unemployed,0,No
33,70578,557,Unemployed,1,No
20,89243,506,Student,1,No
22,70703,791,Student,1,No
35,42645,741,Unemployed,0,No
20,21807,634,Unemployed,0,No
19,72163,759,Student,1,No
31,72727,542,Employed,0,No
26,30957,658,Unemployed,0,No
22,62827,700,Employed,0,Yes
27,77342,622,Unemployed,0,No
20,76948,559,Student,0,No
27,43022,561,Unemployed,0,No
18,41473,754,Student,1,No
23,68741,564,Employed,1,No
21,23847,671,Student,1,No
34,28371,634,Employed,0,No
33,79663,761,Student,0,No
33,41873,688,Unemployed,1,No
21,35117,616,Employed,0,Yes
19,21610,625,Unemployed,1,No
29,70197,576,Unemployed,0,No
35,74967,614,Student,0,No
31,61934,638,Unemployed,1,No
21,85803,844,Unemployed,0,No
25,87603,523,Student,0,No
32,57002,659,Student,0,No
35,79866,504,Student,0,No
27,59834,818,Unemployed,1,No
29,84665,600,Employed,0,No
22,20835,709,Unemployed,0,No
35,65406,825,Employed,0,No
28,20191,836,Student,1,No
21,46895,771,Unemployed,1,No
33,27850,572,Employed,1,No
20,25754,618,Employed,1,No
29,80091,543,Employed,0,No
34,37499,826,Student,0,No
19,77014,839,Unemployed,0,No
27,54208,661,Student,1,No
28,79343,639,Unemployed,0,No
24,37840,799,Unemployed,0,No
21,41544,730,Student,1,No
31,35825,774,Student,0,No
32,60410,737,Student,0,No
20,40658,655,Employed,0,Yes
24,62964,575,Unemployed,0,No
29,71936,762,Unemployed,1,No
26,42789,515,Student,1,No
35,52748,548,Student,0,No
22,35919,506,Unemployed,0,No
22,45969,705,Student,0,No
26,29828,511,Unemployed,0,No
32,36880,547,Student,0,No
19,80423,525,Unemployed,1,No
30,85028,515,Student,1,No
23,66392,609,Unemployed,1,No
26,78459,576,Unemployed,0,No
27,85390,710,Employed,1,No
19,31497,643,Student,0,No
31,46143,829,Employed,0,No
35,22559,695,Employed,1,No
33,83527,676,Employed,1,No
30,55446,592,Unemployed,1,No
25,23840,643,Unemployed,1,No
34,66849,799,Unemployed,0,No
21,52487,836,Unemployed,1,No
35,27328,612,Employed,1,No
29,42768,590,Unemployed,1,No
29,23697,680,Employed,0,No
24,84517,777,Student,0,No
33,24975,546,Unemployed,0,No
25,22612,769,Student,0,No
28,46406,566,Student,0,No
28,27806,511,Unemployed,0,No
21,88982,686,Unemployed,1,No
30,33242,672,Student,1,No
22,40644,723,Employed,1,No
28,42833,787,Employed,1,No
25,42983,693,Student,1,No
22,43292,500,Employed,1,No
19,43865,808,Student,0,No
21,85035,572,Student,0,No
25,65457,663,Unemployed,0,No
28,78540,505,Student,0,No
25,28885,679,Student,0,No
18,26310,697,Student,1,No
23,74266,752,Student,1,No
35,69197,551,Student,0,No
23,79151,537,Unemployed,1,No
18,61774,633,Unemployed,0,No
28,42296,692,Unemployed,0,No
35,32203,673,Employed,1,No
18,76534,834,Unemployed,1,No
23,27019,551,Student,0,No
24,73645,783,Employed,1,No
27,58980,621,Unemployed,0,No
30,84349,578,Unemployed,1,No
18,76047,544,Student,1,No
24,32712,513,Unemployed,0,No
27,30739,742,Unemployed,1,No
30,81727,750,Employed,1,No
20,70793,594,Student,1,No
29,44455,728,Unemployed,1,No
32,80956,634,Unemployed,1,No
19,39808,841,Unemployed,0,No
29,74262,801,Unemployed,0,No
30,88495,714,Employed,1,No
25,82424,653,Unemployed,1,No
19,85811,792,Employed,0,Yes
21,78856,588,Unemployed,0,No
24,36539,521,Student,0,No
31,46465,821,Unemployed,1,No
28,28783,544,Student,1,No
35,62746,641,Employed,1,No
18,88493,714,Unemployed,1,No
22,39424,790,Employed,0,Yes
21,33237,646,Employed,1,No
31,54620,696,Employed,1,No
33,24910,588,Student,1,No
22,72654,519,Student,1,No
25,26460,743,Student,1,No
18,64284,655,Student,1,No
33,32873,616,Unemployed,1,No
32,62056,637,Employed,1,No
20,44633,726,Unemployed,1,No
33,87698,691,Unemployed,0,No
20,60779,759,Student,0,No
34,23794,588,Unemployed,0,No
19,52701,516,Student,0,No
29,46097,640,Student,1,No
34,72028,825,Unemployed,0,No
25,68819,750,Employed,1,No
23,82204,800,Employed,1,No
29,41432,632,Employed,0,Yes
27,23597,697,Unemployed,0,No
24,49012,831,Unemployed,0,No
26,73674,762,Unemployed,0,No
33,37342,831,Unemployed,0,No
25,53081,811,Student,1,No
31,69345,678,Student,1,No
24,81171,654,Employed,1,No
21,20963,761,Employed,1,No
35,57051,652,Employed,0,No
33,28367,672,Student,1,No
26,54229,835,Employed,1,No
24,39651,764,Unemployed,0,No
30,61888,848,Unemployed,0,No
33,58745,632,Student,1,No
30,24629,798,Employed,0,No
28,49145,773,Employed,1,No
29,86494,653,Unemployed,0,No
27,32793,741,Unemployed,1,No
35,43995,848,Student,0,No
25,66567,614,Employed,1,No
31,63426,690,Student,1,No
32,35437,740,Unemployed,0,No
33,45499,756,Unemployed,1,No
34,59106,711,Unemployed,0,No
22,46253,675,Student,1,No
22,61469,592,Unemployed,1,No
28,43176,660,Employed,0,Yes
18,79251,640,Unemployed,0,No
23,84169,545,Unemployed,1,No
31,72873,719,Student,1,No
18,24944,773,Unemployed,1,No
18,62233,771,Unemployed,0,No
18,52613,615,Employed,1,No
27,36899,552,Student,1,No
23,28557,523,Student,1,No
32,88195,805,Employed,1,No
31,37536,675,Student,1,No
24,41611,706,Unemployed,0,No
25,37197,608,Employed,0,Yes
34,42149,563,Student,0,No
30,53526,773,Employed,0,Yes
19,34170,834,Unemployed,0,No
21,74627,727,Student,0,No
35,53126,742,Employed,0,No
24,21219,654,Student,0,No
34,55386,818,Employed,0,No
31,33751,761,Employed,0,No
27,34943,554,Student,0,No
24,54471,767,Unemployed,1,No
31,58712,582,Unemployed,1,No
24,83001,669,Unemployed,0,No
18,31665,556,Employed,1,No
22,31807,761,Unemployed,0,No
26,50298,733,Student,1,No
32,26564,551,Unemployed,0,No
27,67214,846,Student,1,No
21,32451,523,Unemployed,0,No
23,63078,683,Student,1,No
20,68840,675,Unemployed,0,No
30,72461,733,Student,1,No
33,75278,832,Unemployed,0,No
22,27686,581,Unemployed,1,No
33,77430,592,Employed,1,No
29,23777,850,Employed,0,No
33,83979,557,Student,1,No
19,28301,633,Employed,1,No
18,88788,795,Employed,0,Yes
28,88039,767,Employed,0,Yes
31,52581,746,Student,1,No
22,27152,505,Employed,0,No
34,81510,753,Unemployed,0,No
33,62026,623,Student,1,No
19,86444,614,Employed,1,No
30,50801,540,Student,1,No
32,31536,755,Student,1,No
21,85191,834,Unemployed,0,No
30,74046,518,Employed,0,No
20,59924,760,Employed,0,Yes
32,64676,686,Unemployed,0,No
32,63512,786,Employed,1,No
29,79314,558,Unemployed,0,No
18,64742,681,Employed,1,No
35,88417,691,Employed,0,No
19,41516,752,Unemployed,1,No
21,53330,812,Unemployed,0,No
21,71497,610,Student,0,No
28,34125,712,Unemployed,0,No
32,79950,837,Employed,0,No
33,20568,771,Employed,0,No
35,76729,799,Student,0,No
23,36827,553,Student,1,No
34,70418,714,Employed,0,No
26,72149,675,Student,1,No
22,38111,711,Employed,1,No
35,61144,783,Employed,0,No
24,47487,819,Employed,1,No
29,37389,832,Unemployed,1,No
21,66168,787,Student,1,No
35,57477,716,Unemployed,0,No
18,69921,574,Unemployed,0,No
24,54993,582,Student,1,No
22,28130,651,Unemployed,0,No
29,79322,552,Employed,0,No
35,70972,621,Employed,1,No
19,70014,698,Student,1,No
35,27051,506,Employed,1,No
24,78073,615,Employed,1,No
35,45751,599,Student,1,No
23,29760,595,Unemployed,0,No
30,25326,719,Student,1,No
22,41093,799,Student,0,No
28,81122,579,Unemployed,0,No
28,26665,820,Employed,1,No
33,66934,537,Employed,1,No
34,48830,594,Employed,0,No
34,40889,712,Employed,1,No
20,65796,613,Unemployed,1,No
28,67290,650,Unemployed,1,No
35,21153,558,Employed,1,No
32,51502,828,Employed,0,No
19,62065,695,Unemployed,1,No
26,57070,512,Employed,1,No
34,86680,728,Student,0,No
27,45232,664,Employed,0,Yes
21,41940,775,Employed,0,Yes
20,47627,843,Employed,0,Yes
31,33621,605,Employed,1,No
20,40152,512,Student,1,No
19,31471,537,Unemployed,0,No
26,29232,794,Unemployed,1,No
31,70860,730,Employed,1,No
31,61471,508,Student,0,No
35,20773,828,Employed,0,No
19,29514,683,Employed,0,No
27,59498,810,Unemployed,1,No
32,69992,702,Employed,0,No
33,40489,773,Unemployed,0,No
30,58663,824,Unemployed,1,No
29,21461,783,Employed,0,No
21,25475,502,Employed,1,No
35,31157,656,Unemployed,1,No
